Country,Adjective,Area,,Africa,Asia,Canada,Europe,Greenland,United States,Mexico,Central America,Caribbean,South America,Oceania,Antarctica
Saint Kitts and Nevis, Kittitian or Nevisian,,,,,Treuter Mountains,Dešat,,San Jacinto Mountains,,,,,,
Saint Lucia, Saint Lucian,,,,,United States Range,Jablanica,,Santa Ana Mountains,,,,,,
Saint Vincent and the Grenadines, Saint Vincentian,,,,,Valhalla Ranges,Galičica,,Elsinore Mountains,,,,,,
Samoa, Samoan,,,,,Valkyr Range,Scandinavian Mountains,,Temescal Mountains,,,,,,
San Marino, Sammarinese,,,,,Vancouver Island Ranges,Setesdalsheiene,,Pinaleno Mountains,,,,,,
Sao Tome and Principe, Sao Tomean,,,,,Victoria and Albert Mountains,Jotunheimen,,Porcupine Mountains,,,,,,
Saudi Arabia, Saudi,,,,,Waddington Range,Rondane,,Pryor Mountains,,,,,,
Senegal, Senegalese,,,,,Wernecke Mountains,Dovrefjell,,Rocky Mountains,,,,,,
Serbia, Serbian,,,,,Windy Range,Trollheimen,,Absaroka Range,,,,,,
Seychelles, Seychellois,,,,,Winston Churchill Range,Kjolen Mountains,,Beartooth Mountains,,,,,,
Sierra Leone, Sierra Leonean,,,,,Central Alps,Saltfjellet,,Bighorn Mountains,,,,,,
Singapore, Singaporean,,,,,Graian Alps,Svecofennides,,Bitterroot Range,,,,,,
Slovakia, Slovak,,,,,Maritime Alps,Lyngen Alps,,Beaverhead Mountains,,,,,,
Slovenia, Slovenian,,,,,Allgäu Alps,Scottish Highlands,,Bitterroot Mountains,,,,,,
Solomon Islands, Solomon Islander,,,,,Ammergau Alps,Grampian mountains,,Centennial Mountains,,,,,,
Somalia, Somali,,,,,Ankogel Group,Ben Nevis,,Coeur d'Alène Mountains,,,,,,
South Africa, South African,,,,,Appenzell Alps,Cairngorms,,Saint Joe Mountains,,,,,,
Spain, South Sudanese,,,,,Bavarian Alps,The Cuillins,,Boise Mountains,,,,,,
Sri Lanka, Spanish,,,,,Bavarian Prealps ,Sierra Morena,,Boulder Mountains,,,,,,
Sudan, Sri Lankan,,,,,Berchtesgaden Alps,Sistema Bético,,Boulder Mountains,,,,,,
"Sudan, South", Sudanese,,,,,Bernese Alps,Sistema Central,,Bridger Mountains,,,,,,
Suriname, Surinamese,,,,,Bernina Range,Sierra de Guadarrama,,Bridger Range,,,,,,
Sweden, Swedish,,,,,Biellese Alps ,Sistema Ibérico,,Cabinet Mountains,,,,,,
Switzerland, Swiss,,,,,Mont Blanc massif,Skanderbeg Range,,Clearwater Mountains,,,,,,
Syria, Syrian,,,,,Brandenberg Alps,Srednogorie mountain system,,Crazy Mountains,,,,,,
Taiwan, Taiwanese,,,,,Bregenz Forest Mountains,Vitosha,,Elk Mountains,,,,,,
Tajikistan, Tajik,,,,,Bucklige Welt,Sredna Gora,,Elkhorn Mountains,,,,,,
Tanzania, Tanzanian,,,,,Carnic Alps,Strandzha,,Flathead Range,,,,,,
Thailand, Thai,,,,,Chiemgau Alps,Świętokrzyskie Mountains,,Front Range,,,,,,
Togo, Togolese,,,,,Dachstein Mountains,Sudetes,,Gallatin Range,,,,,,
Tonga, Tongan,,,,,Dauphiné Alps,Ślęża Masiff,,Garnet Range,,,,,,
Trinidad and Tobago, Trinidadian or Tobagonian,,,,,Dauphiné Prealps,Lusatian Mountains,,Granite Mountains,,,,,,
Tunisia, Tunisian,,,,,Emmental Alps,Kozákov Ridge,,Green Mountains,,,,,,
Turkey, Turkish,,,,,Ennstal Alps,Jizera Mountains,,Gros Ventre Range,,,,,,
Turkmenistan, Turkmen,,,,,Fiemme Mountains,Kaczawskie Mountains,,Henry Mountains,,,,,,
Tuvalu, Tuvaluan,,,,,Gailtal Alps,Giant Mountains,,John Long Mountains,,,,,,
Uganda, Ugandan,,,,,Glockner Group,Rudawy Janowickie,,La Sal Mountains,,,,,,
Ukraine, Ukrainian,,,,,Graz Highlands,Wałbrzyskie Mountains,,Laramie Mountains,,,,,,
United Arab Emirates, Emirati,,,,,Hohe Tauern,Stone Mountains,,Lemhi Range,,,,,,
United Kingdom, British,,,,,Julian Alps,Owl Mountains,,Lewis Range,,,,,,
United States, American,,,,,Kaiser Mountains ,Bardzkie Mountains,,Livingston Range,,,,,,
Uruguay, Uruguayan,,,,,Kamnik–Savinja Alps,Stołowe Mountains,,Madison Range,,,,,,
Uzbekistan, Uzbek,,,,,Karwendel ,Orlicke Mountains,,Medicine Bow Mountains,,,,,,
Vanuatu, Ni-Vanuatu,,,,,Kitzbühel Alps,Bystrzyckie Mountains,,Snowy Range,,,,,,
Vatican City, Vatican,,,,,Lechquellen Mountains ,Golden Mountains,,Mosquito Range,,,,,,
Venezuela, Venezuelan,,,,,Lechtal Alps ,Snieżnik Mountains,,Owl Creek Mountains,,,,,,
Vietnam, Vietnamese,,,,,Lepontine Alps ,Opawskie Mountains,,Pioneer Mountains,,,,,,
Yemen, Yemeni,,,,,Ligurian Alps ,Hrubý Jeseník,,Pioneer Mountains,,,,,,
Zambia, Zambian,,,,,Limestone Alps,Nízký Jeseník,,Red Mountains,,,,,,
Zimbabwe, Zimbabwean,,,,,Southern Limestone Alps,Bohemian Forest,,Salish Mountains,,,,,,
,,,,,,Loferer and Leoganger Steinberge,Swabian Alb,,Salmon River Mountains,,,,,,
,,,,,,Lugano Prealps,Serra de Tramuntana,,Salt River Range,,,,,,
,,,,,,Mieming Range ,Ural Mountains,,San Juan Mountains,,,,,,
